encoding,code,code_clean,description,source,observations,enfermedad_cd,enfermedad_st
ciap-2,K74,K74,isquemia cardiaca con angina,,,1,Enfermedad isquemica cardiaca (EIC)
ciap-2,K75,K75,infarto agudo de miocardio (IAM),,,1,Enfermedad isquemica cardiaca (EIC)
ciap-2,K76,K76,isquemia cardiaca sina angina,,,1,Enfermedad isquemica cardiaca (EIC)
ciap-2,K77,K77,insuficiencia cardiaca congestiva (ICC),,,2,Insuficiencia cardiaca congestiva (ICC)
ciap-2,K78,K78,fibrilacion auricular (FA),,,3,Fibrilacion auricular (FA)
icd-9-mc-es,410,410,Infarto agudo de miocardio,,,1,Enfermedad isquemica cardiaca (EIC)
icd-9-mc-es,411,411, Otras formas agudas y subagudas de cardiopatia isquemica,,,1,Enfermedad isquemica cardiaca (EIC)
icd-9-mc-es,412,412,"Infarto de miocardio, antiguo",,,1,Enfermedad isquemica cardiaca (EIC)
icd-9-mc-es,413,413,Angina de pecho,,,1,Enfermedad isquemica cardiaca (EIC)
icd-9-mc-es,414,414,Otras formas de cardiopatia isquemica cronica,,,1,Enfermedad isquemica cardiaca (EIC)
icd-9-mc-es,398.91,39891,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es,402.01 ,40201,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es,402.11,40211,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es,402.91,40291,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es,404.01,40401,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es,404.03,40403,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es,404.11,40411,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es,404.13,40413,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es,404.91,40491,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es,404.93,40493,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es,428.0,4280,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es,428.1,4281,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es,428.20,42820,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es,428.22,42822,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es,428.23,42823,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es,428.30,42830,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es,428.32,42832,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es,428.33,42833,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es,428.40,42840,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es,428.42,42842,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es,428.43,42843,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es, 428.9,4289,ICC,,,2,Insuficiencia cardiaca congestiva (ICC)
icd-9-mc-es,427.31,42731,Fibrilacion auricular,,,3,Fibrilacion auricular (FA)
icd-9-mc-es,427.32,42732,Flutter auricular,,,3,Fibrilacion auricular (FA)
icd-10-mc-es,I20.0,I200,Angina inestable,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I20.1,I201,Angina de pecho con espasmo documentado,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I20.8,I208,Otras formas de angina de pecho,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I20.9,I209,"Angina de pecho, no especificada",,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I21.0,I210,Infarto agudo de miocardio con elevacion de ST (IAMCEST) de cara anterior,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I21.1,I211,Infarto agudo de miocardio con elevacion de ST (IAMCEST) de cara inferior,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I21.2,I212,Infarto agudo de miocardio con elevacion de ST (IAMCEST) de otra localizacion,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I21.3,I213,Infarto agudo de miocardio con elevacion de ST (IAMCEST) de localizacion no especificada,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I21.4,I214,Infarto agudo de miocardio sin elevacion de ST (IAMSEST),,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I21.9,I219,"Infarto agudo del miocardio, sin otra especificacion",,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I22.0,I220,Infarto agudo de miocardio subsiguiente con elevacion de ST (IAMCEST) de pared anterior,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I22.1,I221,Infarto agudo de miocardio subsiguiente con elevacion de ST (IAMCEST) de cara inferior,,,1,Enfermedad isquemica cardiaca (EIC)
icd-10-mc-es,I22.8,I228,Infarto agudo de miocardio subsiguiente con elevacion de ST (IAMCEST) de otras localizaciones,,,1,Enfermedad isquemica cardiaca (EIC)
