"año_cd","ccaa_cd","zbs_residencia_cd","grupo_edad_cd","sexo_cd","nivel_copago_cd","poblacion_nm"
2022,"ES24",1101,1,1,0,8
2022,"ES24",1101,1,1,2,38
2022,"ES24",1101,1,1,0,23
2022,"ES24",1101,1,1,1,1
2022,"ES24",1101,1,1,1,1
2022,"ES24",1101,1,2,2,7
2022,"ES24",1101,1,2,1,39
2022,"ES24",1101,1,2,0,23
2022,"ES24",1101,1,2,2,1
2022,"ES24",1101,10,1,2,19
2022,"ES24",1101,10,1,2,6
2022,"ES24",1101,10,1,2,3
2022,"ES24",1101,10,1,1,61
2022,"ES24",1101,10,1,2,85
2022,"ES24",1101,10,1,2,1
2022,"ES24",1101,10,1,2,1
2022,"ES24",1101,10,2,2,12
2022,"ES24",1101,10,2,2,6
2022,"ES24",1101,10,2,0,1
2022,"ES24",1101,10,2,2,73
2022,"ES24",1101,10,2,0,57
2022,"ES24",1101,10,2,1,2
2022,"ES24",1101,11,1,1,10
2022,"ES24",1101,11,1,2,5
2022,"ES24",1101,11,1,2,5
2022,"ES24",1101,11,1,0,65
2022,"ES24",1101,11,1,1,94
2022,"ES24",1101,11,1,1,1
2022,"ES24",1101,11,1,2,1
2022,"ES24",1101,11,1,1,1
2022,"ES24",1101,11,2,1,14
2022,"ES24",1101,11,2,1,2
2022,"ES24",1101,11,2,2,2
2022,"ES24",1101,11,2,2,71
2022,"ES24",1101,11,2,0,44
2022,"ES24",1101,11,2,0,1
2022,"ES24",1101,12,1,0,10
2022,"ES24",1101,12,1,0,11
2022,"ES24",1101,12,1,0,8
2022,"ES24",1101,12,1,0,44
2022,"ES24",1101,12,1,0,85
2022,"ES24",1101,12,1,1,3
2022,"ES24",1101,12,1,1,1
2022,"ES24",1101,12,1,0,1
2022,"ES24",1101,12,2,0,11
2022,"ES24",1101,12,2,2,3
2022,"ES24",1101,12,2,1,9
2022,"ES24",1101,12,2,1,69
2022,"ES24",1101,12,2,0,41
2022,"ES24",1101,12,2,0,1
2022,"ES24",1101,12,2,2,2
2022,"ES24",1101,13,1,1,12
2022,"ES24",1101,13,1,1,17
2022,"ES24",1101,13,1,0,23
2022,"ES24",1101,13,1,0,46
2022,"ES24",1101,13,1,2,54
2022,"ES24",1101,13,1,0,3
2022,"ES24",1101,13,2,0,15
2022,"ES24",1101,13,2,2,17
2022,"ES24",1101,13,2,0,11
2022,"ES24",1101,13,2,0,48
2022,"ES24",1101,13,2,0,33
2022,"ES24",1101,13,2,2,1
2022,"ES24",1101,14,1,2,18
2022,"ES24",1101,14,1,0,51
2022,"ES24",1101,14,1,2,54
2022,"ES24",1101,14,1,2,6
2022,"ES24",1101,14,1,2,6
2022,"ES24",1101,14,1,2,1
2022,"ES24",1101,14,1,1,1
2022,"ES24",1101,14,2,0,38
2022,"ES24",1101,14,2,0,32
2022,"ES24",1101,14,2,0,35
2022,"ES24",1101,14,2,1,16
2022,"ES24",1101,14,2,2,9
2022,"ES24",1101,14,2,0,1
2022,"ES24",1101,15,1,0,16
2022,"ES24",1101,15,1,1,52
2022,"ES24",1101,15,1,0,49
2022,"ES24",1101,15,1,0,1
2022,"ES24",1101,15,1,1,1
2022,"ES24",1101,15,1,0,1
2022,"ES24",1101,15,2,0,42
2022,"ES24",1101,15,2,0,33
2022,"ES24",1101,15,2,1,36
2022,"ES24",1101,15,2,2,3
2022,"ES24",1101,15,2,1,2
2022,"ES24",1101,16,1,1,31
2022,"ES24",1101,16,1,2,55
2022,"ES24",1101,16,1,2,37
2022,"ES24",1101,16,1,1,1
2022,"ES24",1101,16,1,1,1
2022,"ES24",1101,16,2,0,65
2022,"ES24",1101,16,2,2,44
2022,"ES24",1101,16,2,2,23
2022,"ES24",1101,16,2,1,1
2022,"ES24",1101,16,2,2,1
2022,"ES24",1101,17,1,0,20
2022,"ES24",1101,17,1,1,30
2022,"ES24",1101,17,1,1,25
2022,"ES24",1101,17,1,2,1
2022,"ES24",1101,17,2,2,50
2022,"ES24",1101,17,2,2,45
2022,"ES24",1101,17,2,1,17
2022,"ES24",1101,17,2,2,1
2022,"ES24",1101,18,1,2,1
2022,"ES24",1101,18,1,2,49
2022,"ES24",1101,18,1,2,55
2022,"ES24",1101,18,1,2,18
2022,"ES24",1101,18,2,1,1
2022,"ES24",1101,18,2,2,152
2022,"ES24",1101,18,2,0,52
2022,"ES24",1101,18,2,2,23
2022,"ES24",1101,18,2,0,3
2022,"ES24",1101,18,2,0,1
2022,"ES24",1101,2,1,1,11
2022,"ES24",1101,2,1,2,1
2022,"ES24",1101,2,1,2,36
2022,"ES24",1101,2,1,2,45
2022,"ES24",1101,2,1,0,1
2022,"ES24",1101,2,1,1,2
2022,"ES24",1101,2,2,1,15
2022,"ES24",1101,2,2,1,3
2022,"ES24",1101,2,2,0,2
2022,"ES24",1101,2,2,0,33
2022,"ES24",1101,2,2,1,40
2022,"ES24",1101,2,2,1,1
2022,"ES24",1101,2,2,1,3
2022,"ES24",1101,3,1,2,13
2022,"ES24",1101,3,1,1,3
2022,"ES24",1101,3,1,2,43
2022,"ES24",1101,3,1,1,41
2022,"ES24",1101,3,1,1,1
2022,"ES24",1101,3,1,2,1
2022,"ES24",1101,3,2,2,13
2022,"ES24",1101,3,2,2,2
2022,"ES24",1101,3,2,0,43
2022,"ES24",1101,3,2,2,50
2022,"ES24",1101,3,2,2,1
2022,"ES24",1101,4,1,1,11
2022,"ES24",1101,4,1,2,4
2022,"ES24",1101,4,1,0,1
2022,"ES24",1101,4,1,2,43
2022,"ES24",1101,4,1,2,33
2022,"ES24",1101,4,1,1,1
2022,"ES24",1101,4,2,1,14
2022,"ES24",1101,4,2,2,1
2022,"ES24",1101,4,2,0,2
2022,"ES24",1101,4,2,1,32
2022,"ES24",1101,4,2,0,33
2022,"ES24",1101,4,2,2,1
2022,"ES24",1101,5,1,2,5
2022,"ES24",1101,5,1,0,2
2022,"ES24",1101,5,1,1,3
2022,"ES24",1101,5,1,2,64
2022,"ES24",1101,5,1,1,12
2022,"ES24",1101,5,1,2,1
2022,"ES24",1101,5,2,0,6
2022,"ES24",1101,5,2,1,3
2022,"ES24",1101,5,2,0,55
2022,"ES24",1101,5,2,1,20
2022,"ES24",1101,5,2,2,1
2022,"ES24",1101,6,1,1,2
2022,"ES24",1101,6,1,0,63
2022,"ES24",1101,6,1,0,12
2022,"ES24",1101,6,1,1,1
2022,"ES24",1101,6,2,0,6
2022,"ES24",1101,6,2,0,67
2022,"ES24",1101,6,2,2,8
2022,"ES24",1101,6,2,1,1
2022,"ES24",1101,7,1,0,1
2022,"ES24",1101,7,1,1,3
2022,"ES24",1101,7,1,2,53
2022,"ES24",1101,7,1,2,33
2022,"ES24",1101,7,2,1,10
2022,"ES24",1101,7,2,1,72
2022,"ES24",1101,7,2,1,18
2022,"ES24",1101,7,2,0,5
2022,"ES24",1101,8,1,1,6
2022,"ES24",1101,8,1,1,3
2022,"ES24",1101,8,1,2,72
2022,"ES24",1101,8,1,1,55
2022,"ES24",1101,8,1,2,1
2022,"ES24",1101,8,2,0,11
2022,"ES24",1101,8,2,2,1
2022,"ES24",1101,8,2,2,1
2022,"ES24",1101,8,2,1,58
2022,"ES24",1101,8,2,2,24
2022,"ES24",1101,8,2,2,1
2022,"ES24",1101,8,2,0,3
2022,"ES24",1101,9,1,0,8
2022,"ES24",1101,9,1,0,3
2022,"ES24",1101,9,1,0,69
2022,"ES24",1101,9,1,1,89
2022,"ES24",1101,9,1,0,1
2022,"ES24",1101,9,1,2,1
2022,"ES24",1101,9,2,0,10
2022,"ES24",1101,9,2,0,2
2022,"ES24",1101,9,2,2,102
2022,"ES24",1101,9,2,1,48
2022,"ES24",1101,9,2,0,1
2022,"ES24",1101,9,2,1,3
2022,"ES24",1102,1,1,0,3
2022,"ES24",1102,1,1,2,14
2022,"ES24",1102,1,1,0,8
2022,"ES24",1102,1,2,1,2
2022,"ES24",1102,1,2,1,13
2022,"ES24",1102,1,2,1,6
2022,"ES24",1102,1,2,2,1
2022,"ES24",1102,10,1,0,6
2022,"ES24",1102,10,1,1,3
2022,"ES24",1102,10,1,2,1
2022,"ES24",1102,10,1,2,47
2022,"ES24",1102,10,1,1,31
2022,"ES24",1102,10,2,0,13
2022,"ES24",1102,10,2,2,1
2022,"ES24",1102,10,2,0,41
2022,"ES24",1102,10,2,0,17
2022,"ES24",1102,10,2,0,3
2022,"ES24",1102,11,1,0,8
2022,"ES24",1102,11,1,2,2
2022,"ES24",1102,11,1,0,3
2022,"ES24",1102,11,1,2,49
2022,"ES24",1102,11,1,1,43
2022,"ES24",1102,11,1,0,1
2022,"ES24",1102,11,2,2,5
2022,"ES24",1102,11,2,2,1
2022,"ES24",1102,11,2,1,41
2022,"ES24",1102,11,2,1,18
2022,"ES24",1102,11,2,0,1
2022,"ES24",1102,11,2,0,1
2022,"ES24",1102,12,1,1,8
2022,"ES24",1102,12,1,0,6
2022,"ES24",1102,12,1,0,4
2022,"ES24",1102,12,1,1,33
2022,"ES24",1102,12,1,1,29
2022,"ES24",1102,12,1,1,1
2022,"ES24",1102,12,2,2,8
2022,"ES24",1102,12,2,2,1
2022,"ES24",1102,12,2,0,3
2022,"ES24",1102,12,2,2,28
2022,"ES24",1102,12,2,1,9
2022,"ES24",1102,12,2,0,2
2022,"ES24",1102,12,2,0,1
2022,"ES24",1102,13,1,1,7
2022,"ES24",1102,13,1,2,6
2022,"ES24",1102,13,1,1,6
2022,"ES24",1102,13,1,0,28
2022,"ES24",1102,13,1,1,14
2022,"ES24",1102,13,2,1,7
2022,"ES24",1102,13,2,0,4
2022,"ES24",1102,13,2,1,4
2022,"ES24",1102,13,2,2,36
2022,"ES24",1102,13,2,2,12
2022,"ES24",1102,13,2,2,1
2022,"ES24",1102,14,1,2,17
2022,"ES24",1102,14,1,2,24
2022,"ES24",1102,14,1,1,26
2022,"ES24",1102,14,1,2,10
2022,"ES24",1102,14,1,2,1
2022,"ES24",1102,14,1,1,1
2022,"ES24",1102,14,2,0,14
2022,"ES24",1102,14,2,1,19
2022,"ES24",1102,14,2,0,15
2022,"ES24",1102,14,2,1,3
2022,"ES24",1102,14,2,0,1
2022,"ES24",1102,14,2,0,2
2022,"ES24",1102,15,1,2,15
2022,"ES24",1102,15,1,2,35
2022,"ES24",1102,15,1,0,27
2022,"ES24",1102,15,1,2,1
2022,"ES24",1102,15,1,2,1
2022,"ES24",1102,15,1,0,1
2022,"ES24",1102,15,2,0,13
2022,"ES24",1102,15,2,1,12
2022,"ES24",1102,15,2,1,14
2022,"ES24",1102,15,2,2,1
2022,"ES24",1102,15,2,2,1
2022,"ES24",1102,16,1,0,19
2022,"ES24",1102,16,1,1,24
2022,"ES24",1102,16,1,0,12
2022,"ES24",1102,16,1,1,1
2022,"ES24",1102,16,2,2,47
2022,"ES24",1102,16,2,1,12
2022,"ES24",1102,16,2,2,13
2022,"ES24",1102,17,1,1,15
2022,"ES24",1102,17,1,0,17
2022,"ES24",1102,17,1,0,9
2022,"ES24",1102,17,2,0,22
2022,"ES24",1102,17,2,0,9
2022,"ES24",1102,17,2,0,6
2022,"ES24",1102,17,2,0,1
2022,"ES24",1102,18,1,0,41
2022,"ES24",1102,18,1,1,11
2022,"ES24",1102,18,1,1,8
2022,"ES24",1102,18,2,1,63
2022,"ES24",1102,18,2,0,21
2022,"ES24",1102,18,2,1,8
2022,"ES24",1102,18,2,0,1
2022,"ES24",1102,18,2,1,1
2022,"ES24",1102,2,1,1,6
2022,"ES24",1102,2,1,0,1
2022,"ES24",1102,2,1,1,18
2022,"ES24",1102,2,1,2,11
2022,"ES24",1102,2,1,2,3
2022,"ES24",1102,2,2,2,5
2022,"ES24",1102,2,2,0,13
2022,"ES24",1102,2,2,0,13
2022,"ES24",1102,3,1,0,9
2022,"ES24",1102,3,1,0,7
2022,"ES24",1102,3,1,2,16
2022,"ES24",1102,3,1,0,2
2022,"ES24",1102,3,2,2,6
2022,"ES24",1102,3,2,2,1
2022,"ES24",1102,3,2,2,16
2022,"ES24",1102,3,2,1,12
2022,"ES24",1102,3,2,1,2
2022,"ES24",1102,4,1,1,5
2022,"ES24",1102,4,1,0,2
2022,"ES24",1102,4,1,0,2
2022,"ES24",1102,4,1,0,16
2022,"ES24",1102,4,1,1,10
2022,"ES24",1102,4,2,1,3
2022,"ES24",1102,4,2,0,1
2022,"ES24",1102,4,2,1,1
2022,"ES24",1102,4,2,1,23
2022,"ES24",1102,4,2,0,16
2022,"ES24",1102,4,2,1,1
2022,"ES24",1102,5,1,0,2
2022,"ES24",1102,5,1,2,1
2022,"ES24",1102,5,1,2,26
2022,"ES24",1102,5,1,1,1
2022,"ES24",1102,5,2,2,1
2022,"ES24",1102,5,2,0,25
2022,"ES24",1102,5,2,1,2
2022,"ES24",1102,5,2,2,1
2022,"ES24",1102,6,1,1,1
2022,"ES24",1102,6,1,1,38
2022,"ES24",1102,6,1,1,14
2022,"ES24",1102,6,2,0,27
2022,"ES24",1102,6,2,2,7
2022,"ES24",1102,7,1,0,2
2022,"ES24",1102,7,1,0,1
2022,"ES24",1102,7,1,1,25
2022,"ES24",1102,7,1,1,5
2022,"ES24",1102,7,2,2,3
2022,"ES24",1102,7,2,2,33
2022,"ES24",1102,7,2,0,11
2022,"ES24",1102,7,2,0,2
2022,"ES24",1102,8,1,2,2
2022,"ES24",1102,8,1,0,29
2022,"ES24",1102,8,1,1,13
2022,"ES24",1102,8,2,1,6
2022,"ES24",1102,8,2,0,32
2022,"ES24",1102,8,2,1,10
2022,"ES24",1102,8,2,0,1
2022,"ES24",1102,9,1,0,2
2022,"ES24",1102,9,1,1,1
2022,"ES24",1102,9,1,2,45
2022,"ES24",1102,9,1,1,20
2022,"ES24",1102,9,1,1,1
2022,"ES24",1102,9,2,1,5
2022,"ES24",1102,9,2,1,1
2022,"ES24",1102,9,2,1,46
2022,"ES24",1102,9,2,1,17
2022,"ES24",1102,9,2,1,2
2022,"ES24",1103,1,1,2,8
2022,"ES24",1103,1,1,2,41
2022,"ES24",1103,1,1,2,15
2022,"ES24",1103,1,1,0,1
2022,"ES24",1103,1,2,1,4
2022,"ES24",1103,1,2,2,36
2022,"ES24",1103,1,2,0,20
2022,"ES24",1103,1,2,2,3
2022,"ES24",1103,1,2,1,1
2022,"ES24",1103,10,1,0,9
2022,"ES24",1103,10,1,0,4
2022,"ES24",1103,10,1,0,116
2022,"ES24",1103,10,1,2,59
2022,"ES24",1103,10,1,1,1
2022,"ES24",1103,10,2,2,8
2022,"ES24",1103,10,2,0,1
2022,"ES24",1103,10,2,0,1
2022,"ES24",1103,10,2,0,91
2022,"ES24",1103,10,2,2,44
2022,"ES24",1103,10,2,1,2
2022,"ES24",1103,11,1,1,5
2022,"ES24",1103,11,1,2,4
2022,"ES24",1103,11,1,1,83
2022,"ES24",1103,11,1,1,61
2022,"ES24",1103,11,1,1,4
2022,"ES24",1103,11,2,2,10
2022,"ES24",1103,11,2,2,4
2022,"ES24",1103,11,2,1,3
2022,"ES24",1103,11,2,1,81
2022,"ES24",1103,11,2,1,38
2022,"ES24",1103,11,2,1,1
2022,"ES24",1103,11,2,0,1
2022,"ES24",1103,12,1,0,8
2022,"ES24",1103,12,1,2,5
2022,"ES24",1103,12,1,1,3
2022,"ES24",1103,12,1,2,75
2022,"ES24",1103,12,1,2,71
2022,"ES24",1103,12,1,0,4
2022,"ES24",1103,12,2,0,9
2022,"ES24",1103,12,2,2,7
2022,"ES24",1103,12,2,2,5
2022,"ES24",1103,12,2,1,83
2022,"ES24",1103,12,2,0,39
2022,"ES24",1103,12,2,1,2
2022,"ES24",1103,12,2,0,1
2022,"ES24",1103,13,1,2,14
2022,"ES24",1103,13,1,1,16
2022,"ES24",1103,13,1,1,16
2022,"ES24",1103,13,1,0,48
2022,"ES24",1103,13,1,0,37
2022,"ES24",1103,13,1,1,1
2022,"ES24",1103,13,2,1,11
2022,"ES24",1103,13,2,1,7
2022,"ES24",1103,13,2,0,14
2022,"ES24",1103,13,2,2,53
2022,"ES24",1103,13,2,1,27
2022,"ES24",1103,13,2,0,1
2022,"ES24",1103,13,2,2,1
2022,"ES24",1103,14,1,2,15
2022,"ES24",1103,14,1,2,20
2022,"ES24",1103,14,1,0,53
2022,"ES24",1103,14,1,2,7
2022,"ES24",1103,14,1,0,5
2022,"ES24",1103,14,1,0,2
2022,"ES24",1103,14,2,0,19
2022,"ES24",1103,14,2,2,19
2022,"ES24",1103,14,2,2,23
2022,"ES24",1103,14,2,1,8
2022,"ES24",1103,14,2,1,10
2022,"ES24",1103,14,2,1,1
2022,"ES24",1103,14,2,0,3
2022,"ES24",1103,15,1,1,7
2022,"ES24",1103,15,1,0,18
2022,"ES24",1103,15,1,2,26
2022,"ES24",1103,15,1,2,2
2022,"ES24",1103,15,1,2,1
2022,"ES24",1103,15,2,1,26
2022,"ES24",1103,15,2,0,24
2022,"ES24",1103,15,2,1,21
2022,"ES24",1103,15,2,0,3
2022,"ES24",1103,15,2,2,2
2022,"ES24",1103,16,1,1,8
2022,"ES24",1103,16,1,1,20
2022,"ES24",1103,16,1,1,22
2022,"ES24",1103,16,1,1,1
2022,"ES24",1103,16,2,2,18
2022,"ES24",1103,16,2,1,16
