año_cd,ccaa_cd,zbs_residencia_cd,sexo_cd,grupo_edad_cd,nivel_copago_cd,poblacion_nm
2020,ES52,HBfqWnYtvblHDOddtLzH,9,16,qQajvaIFCvnzHjlQRBZr,4422
2014,ES30,aQGJSPgoCXnpPdMpIryH,1,1,BePkAfxafhzxydyIZxXq,2983
2013,ES52,bvUMlLOaUBHyoMZEcFvX,1,10,SEfGfzkMDDuEhfVhkXYQ,4466
2014,ES61,xZUcGnkFVPbHMrWYegxb,1,3,GbepLBfdDVyQkoeDQHOR,7257
2022,ES63,uuQNMIQrdvvIxYIAsAXD,0,13,wIlGrYFuPAtmJwQnclVM,7902
2013,ES12,qYDzSnsyYhXToSVTxEne,1,5,auyFcOwyofDNAtJaZzmx,4629
2014,ES64,ERyqBfCmkeQOLSPKkRZT,1,3,WuIxVNpuVTNYLPNGTuoS,3730
2014,ES23,NHsoAHcycbfUjBwFQizd,1,17,QebrJwypwpgCUmsENviV,9998
2018,ES30,YekxxfIuVodXbBqThnJB,0,12,NFQQPwBmakMEsdnxPFjX,3399
2016,ES41,qmxBWugVQKdEumUNQjhW,9,15,XGTbdNcUVBWNxgKvxbyu,7901
2013,ES30,JapBgDpqxmNCwgqhPrjk,9,1,XxVJPsstuQdBAkdZgCrc,8413
2013,ES42,nsPHoYBeuulRsnhhYSxw,0,10,lBbCnEqmnPeRUsmNTuqu,2755
2013,ES42,uudpFccKdLljKdNNEthx,9,8,OZwyOyMIfnOchvkcxlLx,8325
2018,ES21,fNwyxAhBYPkXAmUgsaSc,1,18,KpAsqdwZbXItPWFVjuha,1702
2022,ES52,hQVNlNqrHudoGUugbRBb,9,4,JFREtcBHNLCGeRwDaygD,1902
2020,ES63,hwHBUERREwpqFMLjDsxX,9,7,JcDDXnHLITCpWvkLMcZR,1792
2022,ES23,ZBVxFNmgBlZFInfQWtfU,2,18,LFizzlsBxcHlYirtvfOj,6336
2020,ES30,tpMxfoHGzNWWScKRXcRL,0,1,YBoYQYiuwCEQIwdNaUjR,7144
2015,ES64,HSlUKPzTEgkrwbCMOtuS,9,17,yLFDperZwbZIJdYeOwBn,2347
2014,ES51,qjvayADrXHCsLjOWJiKX,2,2,EUQoAWVreohNVRrHYBAJ,6582
2015,ES42,TWQrEBfVzHQwPdvZYRvK,1,11,WaGOCasptquiBvhVoKav,6488
